"filename", "language", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\authController.js", "JavaScript", 31, 0, 2, 8, 41
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\cartController.js", "JavaScript", 88, 0, 18, 23, 129
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\customerController.js", "JavaScript", 37, 0, 7, 14, 58
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\dashboardController.js", "JavaScript", 39, 0, 0, 3, 42
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\menuController.js", "JavaScript", 127, 0, 11, 23, 161
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\orderController.js", "JavaScript", 130, 0, 8, 19, 157
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\paymentController.js", "JavaScript", 157, 0, 3, 29, 189
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\profileController.js", "JavaScript", 86, 0, 7, 20, 113
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\reservationController.js", "JavaScript", 198, 0, 14, 42, 254
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\userController.js", "JavaScript", 352, 0, 32, 51, 435
"c:\Users\dell\Desktop\MargaretCafe\backend\middleware\authMiddleware.js", "JavaScript", 17, 0, 1, 3, 21
"c:\Users\dell\Desktop\MargaretCafe\backend\middleware\tokenVerify.js", "JavaScript", 28, 0, 0, 7, 35
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250329062547_init\migration.sql", "MS SQL", 0, 68, 13, 20, 101
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250329085309_migration_name\migration.sql", "MS SQL", 0, 24, 12, 8, 44
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250407095028_add_order_table\migration.sql", "MS SQL", 0, 25, 23, 10, 58
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250422080434_\migration.sql", "MS SQL", 0, 15, 3, 4, 22
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250427102449_init\migration.sql", "MS SQL", 0, 15, 2, 3, 20
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\adminRoutes.js", "JavaScript", 16, 0, 0, 3, 19
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\cartRoutes.js", "JavaScript", 16, 0, 0, 3, 19
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\dashboardRoutes.js", "JavaScript", 6, 0, 0, 4, 10
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\orderRoutes.js", "JavaScript", 14, 0, 0, 4, 18
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\paymentRoutes.js", "JavaScript", 8, 0, 1, 4, 13
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\profileRoutes.js", "JavaScript", 17, 0, 0, 4, 21
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\reservationRoutes.js", "JavaScript", 12, 0, 1, 4, 17
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\userRoutes.js", "JavaScript", 25, 0, 0, 3, 28
"c:\Users\dell\Desktop\MargaretCafe\backend\server.js", "JavaScript", 61, 0, 1, 9, 71
"Total", "-", 1465, 147, 159, 325, 2096